"","type","actor","behavior","object","AE","AP","AA","BE","BP","BA","OE","OP","OA","def"
"34","authority","student","insult","professor",1.67,0.48,0.11,-2.6,-0.06,1.4,1.83,2.27,0.24,15.0433386138814
"35","authority","athlete","ignore","coach",1.81,2.5,2.45,-1.73,0.53,-1.27,1.96,2.37,2.19,12.8326575166288
"36","authority","woman","snub","judge",1.75,1.14,0.46,-1.83,0,-0.09,1.15,2.53,-0.22,9.14042103346881
"37","authority","boy","provoke","police_officer",0.84,0.87,1.59,-1.84,1.12,1.48,1.05,2.49,1.43,7.98426420686231
"38","loyalty","employee","conspire_with","competitor",1.04,-0.37,0.2,-0.53,1.24,0.08,0.52,1.59,1.4,3.60693034009106
"39","loyalty","coach","cheer","rival",1.96,2.37,2.19,3.16,2.61,2.28,-0.88,1.28,1.32,7.49379613599405
"40","loyalty","athlete","cheer","rival",1.81,2.5,2.45,3.16,2.61,2.28,-0.88,1.28,1.32,7.54855615508588
"41","loyalty","ambassador","mock","American",1.46,2.28,0.31,-2.48,-0.01,1.6,1.41,1.81,1.77,13.3424016990094
"42","loyalty","man","betray","relative",1.1,1.63,0.62,-3.34,0.53,0.26,2.35,1.59,0.96,19.1249961956724
"43","loyalty","mayor","denigrate","neighbor",1.03,2.02,0.75,-2.07,0.6,0.74,1.46,0.49,0.07,8.67379380430102
"44","loyalty","army_general","snub","American",1.81,3.34,2.32,-1.83,0,-0.09,1.41,1.81,1.77,11.7043925086255
"45","loyalty","film_star","agree_with","crook",0.48,1.77,1.76,1.77,1.18,0.13,-2.81,-0.33,0.18,4.834183247157
"46","loyalty","man","betray","wife",1.1,1.63,0.62,-3.34,0.53,0.26,2.62,2.21,1.03,20.8035913293423
"47","loyalty","wife","betray","husband",2.62,2.21,1.03,-3.34,0.53,0.26,1.95,1.64,0.38,26.6319830551441
"48","purity","spouse","have_sex_with","adulterer",2.7,1.94,0.39,2.09,2.45,1.74,-2.98,-0.15,0.21,10.6960832134657
"49","purity","adult","hire","prostitute",1.06,1.81,0.29,2.23,2.39,0.11,-1.35,-1.35,0.93,3.37624441991945
"50","purity","adult","rape","adult",1.06,1.81,0.29,-4.18,0.48,1.35,1.06,1.81,0.29,19.6009319092554
"51","purity","girl","kiss","sister",2.1,1.41,0.74,2.48,2.33,0.1,1.91,1.23,1.06,1.37412445423552
"52","purity","man","marry","cousin",1.1,1.63,0.62,2.52,2.28,0.21,1.58,0.38,0.7,1.659595562448
"53","purity","woman","kiss","stranger",1.75,1.14,0.46,2.48,2.33,0.1,-0.15,-0.13,-0.2,2.30097254685
"54","purity","man","make_love_to","sister",1.1,1.63,0.62,3.14,2.79,1.08,1.91,1.23,1.06,3.02090191105788
"55","purity","man","have_sex_with","child",1.1,1.63,0.62,2.09,2.45,1.74,1.89,-1.14,1.87,1.69034228814349
"56","purity","mother","sexually_arouse","son",3.05,2.66,0.76,2.28,2.34,0.96,1.68,1.4,0.86,1.48666904253312
"57","purity","priest","flirt_with","homosexual",1.89,2.13,-0.91,1.81,1.58,0.6,0.4,0.07,0.63,1.99340646338173
"58","harm","teacher","hit","lazy_student",2.5,2.31,0.32,-2.66,1.3,2.12,-0.42,-0.76,-1.56,16.106211935576
"59","fairness","teacher","punish","industrious_student",2.5,2.31,0.32,-0.95,1.39,0.85,1.5,0.9,0.56,9.28840783205
"60","liberty","religious_man","coerce","girlfriend",0.93,1.24,0.26,-1.04,1.64,0.52,2.08,1.37,1.01,6.59206981249211
